App_Name,Company,Category,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,Permissions,Report,Offered By,Developer,Logo,In-app Products,Eligible for Family Library
PaperColor,Colorfit,Art & Design,"June 8, 2020",17M,"10,000,000+",2.4.1,4.0.3 and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,Colorfit,https://play-lh.googleusercontent.com/zk1SVbWvnYrH1al59YwDidCP97a2oeyKKi-csCxHhI-S7Wl-dohsGBnQh8J1OGsLvYw=s180,$0.99 - $4.99 per item,
Learn to Draw Anime by Steps,Rstream Labs,Art & Design,"April 19, 2022",17M,"1,000,000+",3.0.230,6.0 and up,"Mature 17+Violence, Blood and Gore, Sexual Content, Nudity, LanguageLearn more",In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Rstream Labs,https://play-lh.googleusercontent.com/MqjCUP5BGbetQPFZXO2YIplEN6rpA6K00HjqpWsV9y_3EYw_PjD0HkQ6YiwgG1tJCFY=s180,$0.99 - $59.99 per item,
Sketchers United,Colorful,Art & Design,"April 26, 2021",6.7M,"100,000+",0.10.3,5.0 and up,TeenLearn more,Users Interact,View details,ReportFlag as inappropriate,Flag as inappropriate,Colorful,https://play-lh.googleusercontent.com/sW0rB9wtsR6J9y7Jfg36jFNY-Ojuuo0ye71591X_CXQUgoI7duzCgu48H4tfQOUbmV4=s180,,
Kids Art & Drawing Game,House of Juniors,Art & Design,"March 21, 2022",3.9M,"100,000+",1.0.2,5.0 and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,House of Juniors,https://play-lh.googleusercontent.com/gdpxP_wDNGsXU8j0Cmg4HNxgXvh_JowqLPtBDviGKn2D0X-0gkRdUjvgkEXUfTwgfbSw=s180,,
Fraksl,workSPACE,Art & Design,"May 14, 2020",15M,"500,000+",2.4.1,4.4 and up,EveryoneLearn more,Digital Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,workSPACE,https://play-lh.googleusercontent.com/4si7COxi8C0QCG5ZJxh9HX-x6zJ9MAC0haHrR_wYp7BeuLo196CGxrr01LuenzC-Jx0=s180,$1.99 per item,
Pixio®,Jutiful Ltd,Art & Design,"April 14, 2022",32M,"10,000+",2.1.173,6.0 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Jutiful Ltd,https://play-lh.googleusercontent.com/4VgdmRNfNx6cNgq9xBx_eWE_2wShnDfNZq3UT0ditOUQq2FB-Ufh_SF28s1hJbi57iA=s180,,
Infinite Design,Infinite Studio LLC,Art & Design,"December 23, 2021",32M,"10,000,000+",3.5.6,7.0 and up,EveryoneLearn more,"Users Interact, Digital Purchases",View details,ReportFlag as inappropriate,Flag as inappropriate,Infinite Studio LLC,https://play-lh.googleusercontent.com/8N60kKO2AkQ3WjtIKJNL5sPnxaoZLrKaQh6z6dxOIbGoqHQUG313ZpotbmtpaPJ52X4=s180,$1.99 - $7.99 per item,
Adult Coloring Book,Jasmyn Mobile Studios,Art & Design,"April 10, 2022",10M,"100,000+",12,8.1 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",View details,ReportFlag as inappropriate,Flag as inappropriate,Jasmyn Mobile Studios,https://play-lh.googleusercontent.com/E3m4xw9Xk6AFShHJQojZY0LGGyXtlQmcTSCToEsfGEXrzfMP4QYo0TnLf_PSrwbD0eY=s180,$0.49 - $14.99 per item,
GemsFlow - Diamond Painting Logbook,Andrii Zborovskyi,Art & Design,"February 15, 2022",33M,"10,000+",1.5.4,5.0 and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,Andrii Zborovskyi,https://play-lh.googleusercontent.com/wGhFr26FYlYUZEQgOaLez4uiW5umnye6-3exq7hJJqUez_fGnehiD8wc5Ac4MZdygg=s180,,
Nomad Sculpt,Hexanomad,Art & Design,"November 21, 2021",66M,"500,000+",1.65,4.4 and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,Hexanomad,https://play-lh.googleusercontent.com/H--AktreIu_qdZiFI3GQhexMzPXZhnUevfbViDeNXKyc9MonV8bE1v_nP4y9XjNoxgY=s180,$14.99 per item,
El Pose 3D,Agas Creative,Art & Design,"June 29, 2020",Varies with device,"100,000+",1.0.7,Varies with device,TeenPartial NudityLearn more,Digital Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Agas Creative,https://play-lh.googleusercontent.com/ZSCQQ4fxyTAPuwkh9bQbYxDR3VOddmRpEIDWditQHG62IxywCVaxN32VbQU_Jh3hyyU=s180,$4.99 per item,
Fingerpaint Magic Draw and Color by Finger,Magic Land of Games,Art & Design,"September 24, 2020",Varies with device,"500,000+",1.1,4.4 and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,Magic Land of Games,https://play-lh.googleusercontent.com/cj3BRVT6MJNBFcPPoGtYg4Hm-Ty4BwfEiPpPI0u0Ed1GX5P97fvtA4cUKO6PcPspMw=s180,,
Sketch a Day: Daily challenges & tutorials,Tom Hicks,Art & Design,"September 15, 2021",47M,"500,000+",1.42.0,5.0 and up,TeenLearn more,Users Interact,View details,ReportFlag as inappropriate,Flag as inappropriate,Tom Hicks,https://play-lh.googleusercontent.com/0mMvLHvavF61ghM1GaqCXp0NIuyB-3d86gUucVNhN4S3olUN8O3kLfOF4dPVlBp_JLI=s180,$1.99 - $13.99 per item,
Mega Voxels Play,"Go Real Games, LLC",Art & Design,"May 7, 2022",86M,"50,000+",1.9.4,7.0 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,"Go Real Games, LLC",https://play-lh.googleusercontent.com/MiA-iBheVzPnNJRB644Yxe-TrCgyyFaoVz6JrBvgZ8B7JFGIJwAo7eAkuvEH_aK2FA=s180,$1.99 - $4.99 per item,
3D Mannequins,3D Mannequins,Art & Design,"April 19, 2021",79M,"100,000+",2.8,4.4 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,3D Mannequins,https://play-lh.googleusercontent.com/BnpsNDn_c_7pilfqAt75KGjmOUG70K8MS6xYjspZmNbgh7kz8n7UvH-StgXNQNpHng=s180,$1.49 - $6.99 per item,
